ID,Dataset,Normalisation,validation_fold,Channels,Learning_rate,Loss,Status,datafile
bigart_64,Oxytarget,Z-Score + HM,5,T2w,1.00E-04,BinaryFbetaLoss,,
bigart_65,Oxytarget,Z-Score,1,T2w + DW,1.00E-04,BinaryFbetaLoss,,
bigart_66,Oxytarget,Z-Score,2,T2w + DW,1.00E-04,BinaryFbetaLoss,,
bigart_67,Oxytarget,Z-Score,3,T2w + DW,1.00E-04,BinaryFbetaLoss,,
bigart_68,Oxytarget,Z-Score,4,T2w + DW,1.00E-04,BinaryFbetaLoss,,
bigart_69,Oxytarget,Z-Score,5,T2w + DW,1.00E-04,BinaryFbetaLoss,,
bigart_70,Oxytarget,Z-Score + HM,1,T2w + DW,1.00E-04,BinaryFbetaLoss,,
bigart_71,Oxytarget,Z-Score + HM,2,T2w + DW,1.00E-04,BinaryFbetaLoss,,
bigart_72,Oxytarget,Z-Score + HM,3,T2w + DW,1.00E-04,BinaryFbetaLoss,,
bigart_73,Oxytarget,Z-Score + HM,4,T2w + DW,1.00E-04,BinaryFbetaLoss,,
bigart_74,Oxytarget,Z-Score + HM,5,T2w + DW,1.00E-04,BinaryFbetaLoss,,
bigart_75,Oxytarget,Z-Score,1,T2w,1.00E-05,BinaryFbetaLoss,,
bigart_76,Oxytarget,Z-Score,2,T2w,1.00E-05,BinaryFbetaLoss,,
bigart_77,Oxytarget,Z-Score,3,T2w,1.00E-05,BinaryFbetaLoss,,
bigart_78,Oxytarget,Z-Score,4,T2w,1.00E-05,BinaryFbetaLoss,,
bigart_79,Oxytarget,Z-Score,5,T2w,1.00E-05,BinaryFbetaLoss,,
bigart_80,Oxytarget,Z-Score + HM,1,T2w,1.00E-05,BinaryFbetaLoss,,
bigart_81,Oxytarget,Z-Score + HM,2,T2w,1.00E-05,BinaryFbetaLoss,,
bigart_82,Oxytarget,Z-Score + HM,3,T2w,1.00E-05,BinaryFbetaLoss,,
bigart_83,Oxytarget,Z-Score + HM,4,T2w,1.00E-05,BinaryFbetaLoss,,
bigart_84,Oxytarget,Z-Score + HM,5,T2w,1.00E-05,BinaryFbetaLoss,,
bigart_85,Oxytarget,Z-Score,1,T2w + DW,1.00E-05,BinaryFbetaLoss,,
bigart_86,Oxytarget,Z-Score,2,T2w + DW,1.00E-05,BinaryFbetaLoss,,
bigart_87,Oxytarget,Z-Score,3,T2w + DW,1.00E-05,BinaryFbetaLoss,,
bigart_88,Oxytarget,Z-Score,4,T2w + DW,1.00E-05,BinaryFbetaLoss,,
bigart_89,Oxytarget,Z-Score,5,T2w + DW,1.00E-05,BinaryFbetaLoss,,
bigart_90,Oxytarget,Z-Score + HM,1,T2w + DW,1.00E-05,BinaryFbetaLoss,,
bigart_91,Oxytarget,Z-Score + HM,2,T2w + DW,1.00E-05,BinaryFbetaLoss,,
bigart_92,Oxytarget,Z-Score + HM,3,T2w + DW,1.00E-05,BinaryFbetaLoss,,
bigart_93,Oxytarget,Z-Score + HM,4,T2w + DW,1.00E-05,BinaryFbetaLoss,,
bigart_94,Oxytarget,Z-Score + HM,5,T2w + DW,1.00E-05,BinaryFbetaLoss,,
bigart_95,LARC,Z-Score,1,T2w,1.00E-04,BinaryFbetaLoss,,
bigart_96,LARC,Z-Score,2,T2w,1.00E-04,BinaryFbetaLoss,,
bigart_97,LARC,Z-Score,3,T2w,1.00E-04,BinaryFbetaLoss,,
bigart_98,LARC,Z-Score,4,T2w,1.00E-04,BinaryFbetaLoss,,
bigart_99,LARC,Z-Score,5,T2w,1.00E-04,BinaryFbetaLoss,,
bigart_100,LARC,Z-Score + HM_onLARC,1,T2w,1.00E-04,BinaryFbetaLoss,,
bigart_101,LARC,Z-Score + HM_onLARC,2,T2w,1.00E-04,BinaryFbetaLoss,,
bigart_102,LARC,Z-Score + HM_onLARC,3,T2w,1.00E-04,BinaryFbetaLoss,,
bigart_103,LARC,Z-Score + HM_onLARC,4,T2w,1.00E-04,BinaryFbetaLoss,,
bigart_104,LARC,Z-Score + HM_onLARC,5,T2w,1.00E-04,BinaryFbetaLoss,,
bigart_105,LARC,Z-Score + HM_onOxy,1,T2w,1.00E-04,BinaryFbetaLoss,,
bigart_106,LARC,Z-Score + HM_onOxy,2,T2w,1.00E-04,BinaryFbetaLoss,,
bigart_107,LARC,Z-Score + HM_onOxy,3,T2w,1.00E-04,BinaryFbetaLoss,,
bigart_108,LARC,Z-Score + HM_onOxy,4,T2w,1.00E-04,BinaryFbetaLoss,,
bigart_109,LARC,Z-Score + HM_onOxy,5,T2w,1.00E-04,BinaryFbetaLoss,,
bigart_110,Oxy+LARC ,Z-Score,1,T2w,1.00E-04,BinaryFbetaLoss,,OxyANDLARC_T2_ZScore_wTest.h5
bigart_111,Oxy+LARC ,Z-Score,2,T2w,1.00E-04,BinaryFbetaLoss,,OxyANDLARC_T2_ZScore_wTest.h5
bigart_112,Oxy+LARC ,Z-Score,3,T2w,1.00E-04,BinaryFbetaLoss,,OxyANDLARC_T2_ZScore_wTest.h5
bigart_113,Oxy+LARC ,Z-Score,4,T2w,1.00E-04,BinaryFbetaLoss,,OxyANDLARC_T2_ZScore_wTest.h5
bigart_114,Oxy+LARC ,Z-Score,5,T2w,1.00E-04,BinaryFbetaLoss,,OxyANDLARC_T2_ZScore_wTest.h5
bigart_115,Oxy+LARC ,Z-Score + HM_both_on_Oxy,1,T2w,1.00E-04,BinaryFbetaLoss,,OxyANDLARC_T2_MHZScore_onOxy.h5
bigart_116,Oxy+LARC ,Z-Score + HM_both_on_Oxy,2,T2w,1.00E-04,BinaryFbetaLoss,,OxyANDLARC_T2_MHZScore_onOxy.h5
bigart_117,Oxy+LARC ,Z-Score + HM_both_on_Oxy,3,T2w,1.00E-04,BinaryFbetaLoss,,OxyANDLARC_T2_MHZScore_onOxy.h5
bigart_118,Oxy+LARC ,Z-Score + HM_both_on_Oxy,4,T2w,1.00E-04,BinaryFbetaLoss,,OxyANDLARC_T2_MHZScore_onOxy.h5
bigart_119,Oxy+LARC ,Z-Score + HM_both_on_Oxy,5,T2w,1.00E-04,BinaryFbetaLoss,,OxyANDLARC_T2_MHZScore_onOxy.h5
bigart_120,Oxy+LARC ,Z-Score + HM_both_on_MIXED,1,T2w,1.00E-04,BinaryFbetaLoss,,OxyANDLARC_T2_MHZScore_onMIXED.h5
bigart_121,Oxy+LARC ,Z-Score + HM_both_on_MIXED,2,T2w,1.00E-04,BinaryFbetaLoss,,OxyANDLARC_T2_MHZScore_onMIXED.h5
bigart_122,Oxy+LARC ,Z-Score + HM_both_on_MIXED,3,T2w,1.00E-04,BinaryFbetaLoss,,OxyANDLARC_T2_MHZScore_onMIXED.h5
bigart_123,Oxy+LARC ,Z-Score + HM_both_on_MIXED,4,T2w,1.00E-04,BinaryFbetaLoss,,OxyANDLARC_T2_MHZScore_onMIXED.h5
bigart_124,Oxy+LARC ,Z-Score + HM_both_on_MIXED,5,T2w,1.00E-04,BinaryFbetaLoss,,OxyANDLARC_T2_MHZScore_onMIXED.h5
